"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2013A_BS08"	"H"	2013-07-12 07:00:00	"2013-07-13 06:59:00"	402	114	516	2	17	14	9
"SAND_2013A_BS08"	"H"	2013-07-13 07:00:00	"2013-07-14 06:59:00"	543	53	596	1	10	15	9
"SAND_2013A_BS08"	"H"	2013-07-14 07:00:00	"2013-07-15 06:59:00"	525	66	591	1	12	16	9
"SAND_2013A_BS08"	"H"	2013-07-15 07:00:00	"2013-07-16 06:59:00"	156	339	495	1	24	17	9
"SAND_2013A_BS08"	"H"	2013-07-16 07:00:00	"2013-07-17 06:59:00"	243	158	401	1	25.0867678958785	18	9
"SAND_2013A_BS08"	"H"	2013-07-17 07:00:00	"2013-07-18 06:59:00"	421	156	577	0.913232104121475	10.2403628117914	19	9
"SAND_2013A_BS08"	"H"	2013-07-18 07:00:00	"2013-07-19 06:59:00"	591	151	742	1.75963718820862	14	20	9
"SAND_2013A_BS08"	"H"	2013-07-19 07:00:00	"2013-07-20 06:59:00"	271	146	417	1	23	21	9
"SAND_2013A_BS09"	"H"	2013-07-11 09:00:00	"2013-07-12 08:59:00"	0	191	191	0	33.7142857142857	16	6
"SAND_2013A_BS09"	"H"	2013-07-12 09:00:00	"2013-07-13 08:59:00"	0	314	314	0	50.2857142857143	17	6
"SAND_2013A_BS09"	"H"	2013-07-13 09:00:00	"2013-07-14 08:59:00"	455	58	513	1.72277227722772	15	18	6
"SAND_2013A_BS09"	"H"	2013-07-14 09:00:00	"2013-07-15 08:59:00"	0	415	415	0	38.2772277227723	19	6
"SAND_2013A_BS09"	"H"	2013-07-15 09:00:00	"2013-07-16 08:59:00"	0	373	373	0	41.5714285714286	20	6
"SAND_2013A_BS09"	"H"	2013-07-16 09:00:00	"2013-07-17 08:59:00"	0	282	282	0	42.4285714285714	21	6
"SAND_2013A_BS12"	"H"	2013-07-16 03:00:00	"2013-07-17 02:59:00"	0	290	290	0	41	16	6
"SAND_2013A_BS12"	"H"	2013-07-17 03:00:00	"2013-07-18 02:59:00"	0	331	331	0	47	17	6
"SAND_2013A_BS12"	"H"	2013-07-18 03:00:00	"2013-07-19 02:59:00"	0	361	361	0	64	18	6
"SAND_2013A_BS12"	"H"	2013-07-19 03:00:00	"2013-07-20 02:59:00"	0	306	306	0	53	19	6
"SAND_2013A_BS12"	"H"	2013-07-20 03:00:00	"2013-07-21 02:59:00"	0	324	324	0	43	20	6
"SAND_2013A_BS12"	"H"	2013-07-21 03:00:00	"2013-07-22 02:59:00"	0	342	342	0	56	21	6
"SAND_2013A_BS13"	"H"	2013-07-16 21:00:00	"2013-07-17 20:59:00"	0	240	240	0	29	16	5
"SAND_2013A_BS13"	"H"	2013-07-17 21:00:00	"2013-07-18 20:59:00"	0	256	256	0	37	17	5
"SAND_2013A_BS13"	"H"	2013-07-18 21:00:00	"2013-07-19 20:59:00"	192	223	415	1	23	18	5
